Global absolute abundance estimations for all proteins identified in dataset 2 (see supplemental Figure 4 for dataset details)																																																																							
						Protein copies/cell																						Protein Mass (fg) / Cell																						Coefficient of Variance (%) Between Biological Triplicates																					
Q46851	Uncharacterized protein yghZ OS=Escherichia coli (strain K12) GN=yghZ PE=1 SV=1	gpr	13	695.77	38789.70115	167	395	234	830	605	378	333	564	520	628	618	795	343	309	136	196	163	235	476	578	569	255	1.08E-02	2.54E-02	1.51E-02	5.35E-02	3.90E-02	2.44E-02	2.14E-02	3.63E-02	3.35E-02	4.05E-02	3.98E-02	5.12E-02	2.21E-02	1.99E-02	8.73E-03	1.26E-02	1.05E-02	1.51E-02	3.07E-02	3.72E-02	3.67E-02	1.64E-02	26.81	8.23	5.98	9.27	7.16	13.70	5.67	11.93	4.06	10.73	15.37	0.99	7.69	9.38	10.63	9.59	8.57	10.41	9.68	4.91	12.06	13.90
P09147	UDP-glucose 4-epimerase OS=Escherichia coli (strain K12) GN=galE PE=1 SV=1	galE	13	890.85	37223.63088	621	1752	1436	526	632	773	606	649	547	643	549	451	325	289	615	438	384	523	748	5287	610	628	3.84E-02	1.08E-01	8.88E-02	3.25E-02	3.91E-02	4.78E-02	3.75E-02	4.01E-02	3.38E-02	3.97E-02	3.39E-02	2.79E-02	2.01E-02	1.79E-02	3.80E-02	2.71E-02	2.38E-02	3.24E-02	4.62E-02	3.27E-01	3.77E-02	3.88E-02	4.53	3.68	2.01	9.11	2.23	11.15	5.13	7.68	5.78	6.73	6.02	2.32	11.20	12.45	11.50	50.06	20.22	5.22	9.02	12.44	12.73	7.24
P0A6V8	Glucokinase OS=Escherichia coli (strain K12) GN=glk PE=1 SV=1	glk	13	908.61	34682.97956	497	610	1061	600	671	1044	975	623	1035	852	952	888	282	298	509	639	692	965	1002	1113	767	1525	2.86E-02	3.51E-02	6.11E-02	3.45E-02	3.86E-02	6.01E-02	5.62E-02	3.59E-02	5.96E-02	4.91E-02	5.48E-02	5.12E-02	1.63E-02	1.72E-02	2.93E-02	3.68E-02	3.99E-02	5.56E-02	5.77E-02	6.41E-02	4.42E-02	8.78E-02	8.26	6.91	7.21	13.20	12.24	9.96	4.49	16.40	7.30	6.78	6.04	5.60	2.28	15.94	12.14	9.41	2.02	14.97	7.96	2.93	14.81	2.16
P0A8F8	UvrABC system protein B OS=Escherichia coli (strain K12) GN=uvrB PE=1 SV=2	uvrB	13	697.37	76160.43622	134	158	128	113	122	131	141	112	135	134	150	156	145	133	162	191	173	184	153	150	134	119	1.70E-02	2.00E-02	1.61E-02	1.43E-02	1.54E-02	1.65E-02	1.79E-02	1.42E-02	1.70E-02	1.70E-02	1.90E-02	1.97E-02	1.83E-02	1.69E-02	2.04E-02	2.41E-02	2.19E-02	2.33E-02	1.93E-02	1.89E-02	1.69E-02	1.50E-02	13.54	9.72	3.94	12.12	14.47	8.12	12.12	10.34	7.41	8.37	2.66	5.18	13.04	13.74	21.47	17.22	7.56	16.44	1.45	15.27	11.10	13.59
P0A847	Queuine tRNA-ribosyltransferase OS=Escherichia coli (strain K12) GN=tgt PE=1 SV=1	tgt	13	848.99	42548.22854	846	1067	1361	369	478	383	480	352	369	243	186	206	221	216	452	681	656	480	375	261	508	524	5.98E-02	7.54E-02	9.61E-02	2.61E-02	3.38E-02	2.70E-02	3.39E-02	2.48E-02	2.61E-02	1.72E-02	1.31E-02	1.45E-02	1.56E-02	1.53E-02	3.19E-02	4.81E-02	4.64E-02	3.39E-02	2.65E-02	1.84E-02	3.59E-02	3.71E-02	14.70	8.72	10.02	2.85	4.00	10.25	6.07	19.52	3.91	3.23	7.04	22.03	12.23	21.59	10.49	5.29	2.74	10.60	6.11	13.56	1.37	3.91
P0A6T3	Galactokinase OS=Escherichia coli (strain K12) GN=galK PE=1 SV=2	galK	13	861.04	41397.83668	369	1786	1355	520	610	795	591	517	529	589	551	442	275	221	486	511	278	432	777	4778	713	499	2.54E-02	1.23E-01	9.32E-02	3.58E-02	4.19E-02	5.46E-02	4.06E-02	3.55E-02	3.64E-02	4.05E-02	3.79E-02	3.04E-02	1.89E-02	1.52E-02	3.34E-02	3.51E-02	1.91E-02	2.97E-02	5.34E-02	3.28E-01	4.90E-02	3.43E-02	6.76	11.32	12.43	2.84	7.60	4.79	3.42	2.79	7.13	4.63	6.92	6.38	14.45	23.92	22.30	23.75	6.06	13.80	12.43	10.45	6.30	4.00
P0A8E1	UPF0227 protein ycfP OS=Escherichia coli (strain K12) GN=ycfP PE=3 SV=1	ycfP	13	541.76	21194.6877	793	965	793	733	749	757	808	688	753	726	694	699	453	388	1226	1244	1617	899	843	912	757	765	2.79E-02	3.40E-02	2.79E-02	2.58E-02	2.63E-02	2.66E-02	2.84E-02	2.42E-02	2.65E-02	2.55E-02	2.44E-02	2.46E-02	1.59E-02	1.36E-02	4.31E-02	4.38E-02	5.69E-02	3.16E-02	2.97E-02	3.21E-02	2.67E-02	2.69E-02	13.43	2.36	2.67	6.12	5.94	10.66	4.35	2.28	9.01	3.62	6.85	6.23	7.03	13.40	13.25	4.98	7.39	8.10	7.86	10.07	17.45	2.38
P76015	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK OS=Escherichia coli (strain K12) GN=dhaK PE=1 SV=2	dhaK	13	772.17	38173.13622	754	945	2239	645	810	1229	2381	779	997	991	869	970	172	210	545	376	418	719	1081	801	678	642	4.78E-02	5.99E-02	1.42E-01	4.09E-02	5.13E-02	7.79E-02	1.51E-01	4.94E-02	6.32E-02	6.28E-02	5.51E-02	6.15E-02	1.09E-02	1.33E-02	3.45E-02	2.39E-02	2.65E-02	4.56E-02	6.85E-02	5.07E-02	4.30E-02	4.07E-02	20.58	4.11	2.17	5.87	5.61	4.23	3.06	10.02	5.02	1.99	8.05	6.19	8.00	5.05	20.29	21.38	12.13	10.93	11.26	13.54	10.96	7.27
P0ABQ0	Coenzyme A biosynthesis bifunctional protein CoaBC OS=Escherichia coli (strain K12) GN=coaBC PE=1 SV=2	coaB	13	800.3	43392.67021	252	596	342	223	227	345	246	429	451	395	343	418	80	176	198	363	247	267	227	184	184	283	1.82E-02	4.29E-02	2.46E-02	1.61E-02	1.64E-02	2.48E-02	1.77E-02	3.09E-02	3.25E-02	2.84E-02	2.47E-02	3.01E-02	5.78E-03	1.27E-02	1.43E-02	2.62E-02	1.78E-02	1.92E-02	1.64E-02	1.32E-02	1.32E-02	2.04E-02	25.47	9.22	27.58	17.69	18.09	11.13	8.42	37.88	9.18	9.59	9.85	5.31	45.54	19.29	4.78	55.24	3.28	14.56	18.94	19.07	14.46	18.89
P30011	Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7	nadC	13	701.08	32723.94863	631	568	597	405	490	484	562	597	431	400	311	291	184	201	519	474	660	802	609	508	560	654	3.43E-02	3.09E-02	3.24E-02	2.20E-02	2.66E-02	2.63E-02	3.05E-02	3.24E-02	2.34E-02	2.17E-02	1.69E-02	1.58E-02	1.00E-02	1.09E-02	2.82E-02	2.57E-02	3.58E-02	4.36E-02	3.31E-02	2.76E-02	3.04E-02	3.56E-02	3.82	8.79	8.48	7.65	5.41	4.40	8.68	7.89	4.59	1.93	7.29	2.03	10.16	42.51	11.16	13.67	12.21	5.92	7.45	4.12	9.19	7.68
P37747	UDP-galactopyranose mutase OS=Escherichia coli (strain K12) GN=glf PE=1 SV=1	glf	13	570.69	42920.75887	836	1590	1284	607	654	617	652	526	653	531	364	301	149	141	625	402	665	739	578	297	573	671	5.96E-02	1.13E-01	9.15E-02	4.33E-02	4.66E-02	4.40E-02	4.65E-02	3.75E-02	4.65E-02	3.79E-02	2.59E-02	2.14E-02	1.06E-02	1.00E-02	4.46E-02	2.86E-02	4.74E-02	5.27E-02	4.12E-02	2.12E-02	4.08E-02	4.79E-02	0.75	2.81	2.81	8.45	2.66	2.74	4.00	14.75	0.81	3.30	5.99	3.17	22.45	24.62	12.28	26.66	5.65	9.86	0.98	1.67	9.06	1.22
P0A9U3	Uncharacterized ABC transporter ATP-binding protein YbiT OS=Escherichia coli (strain K12) GN=ybiT PE=1 SV=1	ybiT	13	648.53	59802.32729	343	737	381	137	182	206	206	161	196	159	124	96	96	100	174	227	169	227	205	127	193	285	3.40E-02	7.31E-02	3.78E-02	1.36E-02	1.80E-02	2.04E-02	2.05E-02	1.60E-02	1.94E-02	1.57E-02	1.23E-02	9.53E-03	9.49E-03	9.88E-03	1.73E-02	2.25E-02	1.68E-02	2.25E-02	2.04E-02	1.26E-02	1.91E-02	2.83E-02	4.71	8.67	6.43	8.31	6.63	3.97	3.11	6.35	4.12	10.11	6.47	9.10	6.90	12.45	25.30	8.98	1.39	6.52	4.94	6.28	11.15	2.59
P08957	Type I restriction enzyme EcoKI M protein OS=Escherichia coli (strain K12) GN=hsdM PE=1 SV=1	hsdM	13	1011.42	59251.50285	346	768	497	105	201	216	226	197	184	129	96	80	58	92	180	382	192	241	171	122	224	276	3.40E-02	7.56E-02	4.89E-02	1.04E-02	1.98E-02	2.13E-02	2.22E-02	1.93E-02	1.81E-02	1.27E-02	9.44E-03	7.85E-03	5.75E-03	9.06E-03	1.77E-02	3.76E-02	1.89E-02	2.37E-02	1.68E-02	1.20E-02	2.21E-02	2.72E-02	11.21	5.71	4.79	9.07	9.68	8.08	5.85	26.56	8.96	7.07	30.96	8.77	35.38	21.89	5.13	5.98	20.66	28.31	5.11	8.45	2.03	14.20
P0ACQ4	Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1	oxyR	13	827.5	34235.73131	395	578	473	209	316	366	374	424	374	344	317	253	160	135	274	409	355	374	364	343	325	451	2.25E-02	3.28E-02	2.69E-02	1.19E-02	1.80E-02	2.08E-02	2.13E-02	2.41E-02	2.13E-02	1.96E-02	1.80E-02	1.44E-02	9.11E-03	7.67E-03	1.56E-02	2.32E-02	2.02E-02	2.12E-02	2.07E-02	1.95E-02	1.85E-02	2.57E-02	12.10	3.91	20.19	12.48	6.20	16.74	6.93	4.08	10.03	3.58	4.68	8.26	14.25	20.03	16.92	8.02	3.51	6.00	14.06	4.42	8.02	6.89
P0A6P5	GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1	der	13	689.91	54983.4506	267	369	289	182	161	182	168	193	349	264	234	196	82	77	114	183	206	188	163	121	122	232	2.44E-02	3.37E-02	2.64E-02	1.66E-02	1.47E-02	1.66E-02	1.53E-02	1.76E-02	3.18E-02	2.41E-02	2.13E-02	1.79E-02	7.48E-03	7.07E-03	1.04E-02	1.67E-02	1.88E-02	1.72E-02	1.49E-02	1.11E-02	1.12E-02	2.12E-02	18.46	2.88	19.87	17.10	10.30	8.67	5.52	21.78	11.03	11.43	5.51	12.54	21.59	9.46	9.53	5.59	7.72	6.48	10.44	14.20	16.49	0.88
P76403	Uncharacterized protease yegQ OS=Escherichia coli (strain K12) GN=yegQ PE=3 SV=1	yegQ	13	605.28	51142.48352	265	684	273	169	175	198	169	120	220	166	122	119	35	40	206	383	239	252	150	82	193	229	2.25E-02	5.81E-02	2.32E-02	1.44E-02	1.48E-02	1.68E-02	1.44E-02	1.02E-02	1.87E-02	1.41E-02	1.04E-02	1.01E-02	2.95E-03	3.42E-03	1.75E-02	3.25E-02	2.03E-02	2.14E-02	1.28E-02	7.00E-03	1.64E-02	1.94E-02	12.87	3.00	5.14	12.17	3.55	4.59	3.21	6.83	7.80	14.36	9.16	2.76	11.82	42.48	24.46	39.93	4.97	9.44	11.55	8.72	11.29	4.02
P0AAG8	Galactose/methyl galactoside import ATP-binding protein MglA OS=Escherichia coli (strain K12) GN=mglA PE=1 SV=1	mglA	13	780.52	56361.45375	25	336	225	115	236	203	170	211	360	483	388	390	24	21	23	43	19	86	331	533	249	122	2.37E-03	3.14E-02	2.11E-02	1.07E-02	2.21E-02	1.90E-02	1.59E-02	1.97E-02	3.37E-02	4.52E-02	3.63E-02	3.65E-02	2.22E-03	1.94E-03	2.11E-03	3.98E-03	1.75E-03	8.01E-03	3.10E-02	4.99E-02	2.33E-02	1.15E-02	29.40	3.77	16.46	6.59	6.03	12.21	6.76	45.81	13.75	7.10	9.43	9.73	14.04	21.69	19.89	29.66	47.60	18.16	13.48	20.79	17.41	23.69
P69783	Glucose-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=crr PE=1 SV=2	crr	12	660.78	18221.73165	33524	25210	27051	17108	21004	29541	24827	20525	26225	24667	23750	23449	18977	22967	34345	32036	32331	23122	25358	24931	19715	29309	1.01E+00	7.63E-01	8.18E-01	5.18E-01	6.36E-01	8.94E-01	7.51E-01	6.21E-01	7.94E-01	7.46E-01	7.19E-01	7.10E-01	5.74E-01	6.95E-01	1.04E+00	9.69E-01	9.78E-01	7.00E-01	7.67E-01	7.54E-01	5.97E-01	8.87E-01	9.75	6.75	7.93	1.88	5.46	4.62	1.93	7.46	8.48	6.54	1.32	4.44	17.22	12.25	9.76	5.36	4.62	5.02	9.25	9.88	6.01	7.36
P0A8G6	Flavoprotein wrbA OS=Escherichia coli (strain K12) GN=wrbA PE=1 SV=2	wrbA	12	745.93	20814.41143	5306	3467	4130	8249	7343	7709	6744	4186	5988	7169	7173	6977	13406	13211	11745	8011	20628	6010	6449	8125	5794	5128	1.83E-01	1.20E-01	1.43E-01	2.85E-01	2.54E-01	2.66E-01	2.33E-01	1.45E-01	2.07E-01	2.48E-01	2.48E-01	2.41E-01	4.63E-01	4.57E-01	4.06E-01	2.77E-01	7.13E-01	2.08E-01	2.23E-01	2.81E-01	2.00E-01	1.77E-01	43.74	5.03	3.47	7.45	8.94	6.78	4.23	6.60	14.90	4.59	1.76	5.46	4.70	4.09	13.15	20.67	8.94	12.55	5.26	19.14	23.52	3.78
P0ADE6	Uncharacterized protein ygaU OS=Escherichia coli (strain K12) GN=ygaU PE=1 SV=2	ygaU	12	861.01	16035.27366	1857	1146	1410	3065	3350	4260	3045	2850	3994	4818	6192	9009	9069	8299	3755	4246	5882	2012	4160	6026	3049	3164	4.94E-02	3.05E-02	3.75E-02	8.16E-02	8.92E-02	1.13E-01	8.11E-02	7.59E-02	1.06E-01	1.28E-01	1.65E-01	2.40E-01	2.41E-01	2.21E-01	1.00E-01	1.13E-01	1.57E-01	5.36E-02	1.11E-01	1.60E-01	8.12E-02	8.43E-02	48.77	6.06	6.45	20.98	7.07	1.27	1.42	39.68	7.04	8.07	7.10	10.13	7.03	8.34	9.49	21.35	10.11	18.37	28.79	19.93	32.07	10.92
P0A7W7	30S ribosomal protein S8 OS=Escherichia coli (strain K12) GN=rpsH PE=1 SV=2	rpsH	12	717.25	14099.51014	22152	58622	37259	9190	14453	17287	18273	13560	14108	9130	7225	6233	10561	9376	20079	25849	21772	19981	14176	10026	15466	22410	5.19E-01	1.37E+00	8.72E-01	2.15E-01	3.38E-01	4.05E-01	4.28E-01	3.17E-01	3.30E-01	2.14E-01	1.69E-01	1.46E-01	2.47E-01	2.20E-01	4.70E-01	6.05E-01	5.10E-01	4.68E-01	3.32E-01	2.35E-01	3.62E-01	5.25E-01	15.22	1.75	5.04	5.21	5.98	12.47	4.40	5.82	2.34	3.35	6.21	3.75	5.55	7.87	3.49	10.11	3.01	3.96	3.30	5.18	9.35	2.83
P0A707	Translation initiation factor IF-3 OS=Escherichia coli (strain K12) GN=infC PE=1 SV=1	infC	12	945.43	20533.04237	6930	13496	9227	3918	5559	5497	6603	5435	5871	4621	3623	3162	4716	5467	12254	9131	8260	9763	6919	7327	8414	10509	2.36E-01	4.60E-01	3.15E-01	1.34E-01	1.90E-01	1.87E-01	2.25E-01	1.85E-01	2.00E-01	1.58E-01	1.24E-01	1.08E-01	1.61E-01	1.86E-01	4.18E-01	3.11E-01	2.82E-01	3.33E-01	2.36E-01	2.50E-01	2.87E-01	3.58E-01	13.52	9.66	4.16	1.59	4.55	7.27	4.49	9.42	4.12	9.26	11.34	4.26	8.02	8.02	5.33	9.96	0.56	3.65	10.36	15.23	4.16	2.14
P45523	FKBP-type peptidyl-prolyl cis-trans isomerase fkpA OS=Escherichia coli (strain K12) GN=fkpA PE=1 SV=1	fkpA	12	591.92	28846.14416	5679	10637	7206	2885	3649	3833	4797	4675	3020	2353	1993	1649	2587	2507	4629	3865	5086	4577	4375	2967	4160	6050	2.72E-01	5.10E-01	3.45E-01	1.38E-01	1.75E-01	1.84E-01	2.30E-01	2.24E-01	1.45E-01	1.13E-01	9.55E-02	7.90E-02	1.24E-01	1.20E-01	2.22E-01	1.85E-01	2.44E-01	2.19E-01	2.10E-01	1.42E-01	1.99E-01	2.90E-01	12.25	3.46	8.35	3.33	3.88	1.56	1.38	12.27	2.68	2.75	3.89	1.86	6.37	12.65	10.26	1.37	1.48	4.91	1.38	7.46	7.49	2.32
P0AAC0	Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2	uspE	12	778.24	35666.29663	1445	1635	1110	1492	1465	1618	1651	1740	1503	1526	1777	1924	1925	1803	1632	1603	1901	1522	1669	1824	1049	1393	8.56E-02	9.68E-02	6.58E-02	8.84E-02	8.68E-02	9.58E-02	9.78E-02	1.03E-01	8.90E-02	9.04E-02	1.05E-01	1.14E-01	1.14E-01	1.07E-01	9.67E-02	9.50E-02	1.13E-01	9.01E-02	9.88E-02	1.08E-01	6.21E-02	8.25E-02	18.96	2.73	8.69	3.58	10.57	10.09	3.31	14.43	9.49	6.29	7.26	3.67	8.56	18.15	6.35	26.54	0.75	19.90	3.22	17.62	10.08	8.99
P0ABA4	ATP synthase subunit delta OS=Escherichia coli (strain K12) GN=atpH PE=1 SV=1	atpH	12	788.83	19301.95116	7700	11886	16092	5679	7452	8325	7941	9233	6781	5654	4332	3008	2980	3028	6415	6263	5603	7979	7303	5276	8236	8789	2.47E-01	3.81E-01	5.16E-01	1.82E-01	2.39E-01	2.67E-01	2.55E-01	2.96E-01	2.17E-01	1.81E-01	1.39E-01	9.64E-02	9.55E-02	9.71E-02	2.06E-01	2.01E-01	1.80E-01	2.56E-01	2.34E-01	1.69E-01	2.64E-01	2.82E-01	5.61	2.87	3.32	13.69	2.22	5.67	0.41	3.34	11.50	1.56	6.29	11.91	4.34	3.70	8.40	2.26	5.10	3.60	10.50	6.00	5.17	6.47
P0A805	Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1	frr	12	702.98	20607.85322	5649	8329	7000	3121	3492	3761	4157	3912	3234	3015	2385	2064	2802	2684	5463	5116	5856	4595	3568	2616	3540	4212	1.93E-01	2.85E-01	2.40E-01	1.07E-01	1.19E-01	1.29E-01	1.42E-01	1.34E-01	1.11E-01	1.03E-01	8.16E-02	7.06E-02	9.59E-02	9.18E-02	1.87E-01	1.75E-01	2.00E-01	1.57E-01	1.22E-01	8.95E-02	1.21E-01	1.44E-01	11.29	3.87	3.06	4.78	11.83	1.31	3.85	8.63	6.10	4.95	6.64	3.61	7.13	6.13	5.36	15.74	3.22	1.84	2.94	2.68	6.83	3.99
P07003	Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) GN=poxB PE=1 SV=1	poxB	12	774.23	61953.54994	258	170	172	435	347	363	278	150	431	470	616	865	705	720	555	405	980	229	331	511	266	250	2.65E-02	1.75E-02	1.77E-02	4.47E-02	3.57E-02	3.73E-02	2.87E-02	1.55E-02	4.44E-02	4.84E-02	6.34E-02	8.90E-02	7.25E-02	7.41E-02	5.71E-02	4.17E-02	1.01E-01	2.36E-02	3.41E-02	5.26E-02	2.74E-02	2.57E-02	54.94	8.16	14.77	4.41	7.33	5.89	10.31	13.70	13.31	7.82	10.39	3.04	5.74	14.99	21.99	8.81	10.57	11.07	4.64	7.99	35.99	7.34
P0AAI9	Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2	fabD	12	731.15	32378.37752	3385	6549	5422	2024	2233	2226	2283	2282	1708	1443	1351	1232	1070	1297	2178	1838	2438	1908	2232	1139	2165	2292	1.82E-01	3.52E-01	2.92E-01	1.09E-01	1.20E-01	1.20E-01	1.23E-01	1.23E-01	9.18E-02	7.76E-02	7.26E-02	6.62E-02	5.76E-02	6.97E-02	1.17E-01	9.88E-02	1.31E-01	1.03E-01	1.20E-01	6.12E-02	1.16E-01	1.23E-01	14.31	17.57	6.51	6.82	4.66	13.26	12.33	3.35	6.86	6.42	12.44	2.42	12.63	13.46	6.23	19.91	8.58	3.23	4.12	11.58	4.48	9.37
P0A6Y5	33 kDa chaperonin OS=Escherichia coli (strain K12) GN=hslO PE=1 SV=1	hslO	12	638.13	32495.88996	2363	5556	4248	1452	1940	1874	2026	1660	1852	1660	1411	1114	881	1229	1962	1857	1788	1845	1815	1176	1473	1664	1.27E-01	3.00E-01	2.29E-01	7.84E-02	1.05E-01	1.01E-01	1.09E-01	8.96E-02	1.00E-01	8.96E-02	7.62E-02	6.01E-02	4.75E-02	6.63E-02	1.06E-01	1.00E-01	9.65E-02	9.95E-02	9.79E-02	6.35E-02	7.95E-02	8.98E-02	5.29	2.33	5.21	0.30	10.10	4.56	4.81	9.00	4.82	5.46	5.46	9.73	12.80	11.48	26.25	15.47	7.04	6.54	2.81	3.30	3.65	2.82
P31057	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1	panB	12	702	28201.38237	2579	2118	2711	2650	2510	2222	2246	2087	2465	2307	2033	2074	1260	1081	1868	2806	2139	2278	2034	1486	1812	2224	1.21E-01	9.92E-02	1.27E-01	1.24E-01	1.18E-01	1.04E-01	1.05E-01	9.77E-02	1.15E-01	1.08E-01	9.52E-02	9.71E-02	5.90E-02	5.06E-02	8.75E-02	1.31E-01	1.00E-01	1.07E-01	9.53E-02	6.96E-02	8.49E-02	1.04E-01	11.77	15.13	10.55	12.20	7.41	6.88	12.12	14.47	9.63	10.97	3.22	2.50	9.21	4.47	32.23	20.19	14.91	8.73	3.69	10.65	2.73	6.06
P31663	Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1	panC	12	792.88	31559.67743	1286	1437	1365	1092	1188	1173	1359	1420	1108	932	902	817	710	717	1439	1511	1557	1329	999	1028	1041	1316	6.74E-02	7.53E-02	7.16E-02	5.72E-02	6.22E-02	6.14E-02	7.12E-02	7.44E-02	5.81E-02	4.88E-02	4.73E-02	4.28E-02	3.72E-02	3.76E-02	7.54E-02	7.92E-02	8.16E-02	6.97E-02	5.23E-02	5.39E-02	5.46E-02	6.90E-02	0.95	5.88	7.54	8.73	6.29	12.32	6.14	5.56	0.31	2.40	3.01	5.52	21.62	5.69	8.06	24.68	18.76	7.25	2.19	7.95	1.65	9.32
P04425	Glutathione synthetase OS=Escherichia coli (strain K12) GN=gshB PE=1 SV=1	gshB	12	909.05	35520.25741	1279	1594	1638	1116	1043	1060	1154	1073	1021	958	870	842	583	586	1270	1014	1388	1301	1157	1083	1114	1273	7.54E-02	9.40E-02	9.66E-02	6.58E-02	6.15E-02	6.25E-02	6.81E-02	6.33E-02	6.02E-02	5.65E-02	5.13E-02	4.96E-02	3.44E-02	3.46E-02	7.49E-02	5.98E-02	8.19E-02	7.67E-02	6.83E-02	6.39E-02	6.57E-02	7.51E-02	2.83	3.98	4.91	11.01	1.47	2.78	8.69	2.53	7.28	3.29	5.65	2.22	8.63	2.69	15.56	5.93	4.56	2.27	8.66	2.55	4.57	9.30
P07024	Protein UshA OS=Escherichia coli (strain K12) GN=ushA PE=1 SV=2	ushA	12	656.64	60767.7396	363	459	541	300	375	442	385	315	346	334	318	279	303	336	413	458	418	338	331	334	364	296	3.67E-02	4.63E-02	5.46E-02	3.03E-02	3.78E-02	4.46E-02	3.88E-02	3.18E-02	3.50E-02	3.37E-02	3.21E-02	2.82E-02	3.06E-02	3.39E-02	4.16E-02	4.62E-02	4.22E-02	3.41E-02	3.34E-02	3.37E-02	3.67E-02	2.98E-02	17.76	5.29	2.20	3.84	5.91	2.52	10.82	9.13	1.68	3.57	5.39	6.53	6.17	3.29	10.58	11.39	8.31	10.16	3.03	16.88	7.33	8.29
P06987	Histidine biosynthesis bifunctional protein hisB OS=Escherichia coli (strain K12) GN=hisB PE=1 SV=1	hisB	12	798.46	40234.25797	2794	692	3068	863	1391	1294	2276	1475	1608	1324	1326	967	482	488	1217	2373	1281	1596	1877	1381	1450	1924	1.87E-01	4.62E-02	2.05E-01	5.77E-02	9.29E-02	8.65E-02	1.52E-01	9.86E-02	1.07E-01	8.84E-02	8.86E-02	6.46E-02	3.22E-02	3.26E-02	8.13E-02	1.59E-01	8.56E-02	1.07E-01	1.25E-01	9.23E-02	9.69E-02	1.29E-01	2.11	5.55	5.36	8.62	2.06	9.89	6.93	7.66	9.94	7.02	2.21	0.52	23.96	5.27	17.07	7.89	6.15	7.98	5.77	11.99	12.91	9.31
P0A9K3	PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2	ybeZ	12	744.03	38996.53281	734	1453	858	488	540	532	667	510	728	552	521	422	462	468	731	839	849	708	550	497	545	690	4.75E-02	9.41E-02	5.56E-02	3.16E-02	3.49E-02	3.45E-02	4.32E-02	3.30E-02	4.72E-02	3.57E-02	3.37E-02	2.73E-02	2.99E-02	3.03E-02	4.74E-02	5.44E-02	5.50E-02	4.58E-02	3.56E-02	3.22E-02	3.53E-02	4.47E-02	2.87	3.46	10.93	4.11	7.00	6.68	4.39	9.76	9.37	4.02	6.85	1.94	3.58	12.04	16.76	20.97	6.31	5.66	7.75	5.81	11.17	8.50
P0A6C8	Acetylglutamate kinase OS=Escherichia coli (strain K12) GN=argB PE=1 SV=1	argB	12	980.26	27124.47333	6391	405	527	2343	2928	3414	3864	3905	2748	1761	1871	2263	634	666	3108	5518	4453	3676	3547	2759	3629	5486	2.88E-01	1.82E-02	2.37E-02	1.06E-01	1.32E-01	1.54E-01	1.74E-01	1.76E-01	1.24E-01	7.93E-02	8.43E-02	1.02E-01	2.85E-02	3.00E-02	1.40E-01	2.49E-01	2.01E-01	1.66E-01	1.60E-01	1.24E-01	1.63E-01	2.47E-01	13.90	4.84	7.28	3.70	4.11	5.14	2.92	6.70	0.47	3.37	7.65	9.44	13.67	3.31	5.16	12.20	4.90	3.00	4.93	5.21	3.27	3.45
P77689	FeS cluster assembly protein sufD OS=Escherichia coli (strain K12) GN=sufD PE=1 SV=1	sufD	12	913.94	46775.93929	252	154	218	192	173	196	219	234	187	131	94	84	323	364	648	494	296	529	248	180	193	244	1.96E-02	1.20E-02	1.69E-02	1.49E-02	1.35E-02	1.52E-02	1.70E-02	1.82E-02	1.45E-02	1.02E-02	7.34E-03	6.52E-03	2.51E-02	2.82E-02	5.04E-02	3.83E-02	2.30E-02	4.11E-02	1.93E-02	1.40E-02	1.50E-02	1.89E-02	11.07	9.55	11.38	14.28	11.86	10.67	7.76	1.22	15.32	0.71	7.69	3.90	3.86	9.95	5.70	17.98	8.43	10.45	4.57	12.93	9.03	14.89
P0AA16	Transcriptional regulatory protein ompR OS=Escherichia coli (strain K12) GN=ompR PE=1 SV=1	ompR	12	639.67	27318.15933	828	1606	1338	703	1074	988	1058	1121	825	870	859	840	566	616	792	920	883	821	955	942	815	799	3.76E-02	7.28E-02	6.07E-02	3.19E-02	4.87E-02	4.48E-02	4.80E-02	5.08E-02	3.74E-02	3.95E-02	3.89E-02	3.81E-02	2.57E-02	2.80E-02	3.59E-02	4.17E-02	4.00E-02	3.73E-02	4.33E-02	4.27E-02	3.70E-02	3.62E-02	7.29	1.76	4.12	2.00	1.82	3.12	10.22	7.78	4.12	2.69	1.61	5.31	19.36	4.63	12.39	12.12	15.60	7.12	6.37	2.39	5.63	1.34
