Gene	ExpAgeP-value	ExpAgeDirection	MethAgeP-value	MethAgeDirection	ExpMethP-value	ExpMethDirection	TopMediator	Z-score	MedP-value	NoCpGsTested	NoBonferroniSig
ZNF135	5,1E-13	-------	4,7E-46	+++++++	2,5E-15	-------	cg25537993	-6,9	2,3E-12	193	44
FAM129C	4,5E-14	-----++	4,3E-81	-------	8,3E-11	+++++++	cg16363586	-6,2	4,0E-10	284	10
SPOCK2	3,5E-12	+----+-	1,4E-50	+++++++	1,1E-50	-------	cg23674602	-10,6	1,8E-26	122	14
CNN3	2,1E-08	-----?-	5,6E-37	+++++?-	6,9E-08	----+?-	cg26619317	-5,0	3,4E-07	96	10
ZNF439	2,1E-16	-------	3,2E-28	+++++++	2,3E-13	-------	cg26626525	-6,1	5,3E-10	125	30
MTA3	1,2E-11	-------	2,5E-40	-------	1,9E-19	+++++++	cg18739675	-7,5	4,2E-14	110	15
C2orf40	2,2E-10	+----?-	5,8E-96	-----?-	1,1E-12	+++++?+	ch.2.105901354F	-6,7	8,3E-12	77	6
GBP5	4,1E-13	+++++?+	1,7E-41	-----?-	5,0E-06	-----?-	ch.1.89724558F	4,3	7,7E-06	24	2
EPB41L4A-AS1	7,6E-12	-------	7,8E-10	-------	3,7E-13	+++++++	cg11123493	-4,7	1,3E-06	30	3
EFNA1	8,6E-18	-----?-	2,2E-56	-----?-	2,3E-28	+++++?+	cg18568145	-9,1	6,7E-20	400	19
BHLHE40	3,8E-06	+++++++	1,3E-45	-------	2,3E-37	-------	cg01180628	9,5	1,2E-21	79	16
APOBEC3G	6,2E-05	++++--+	2,2E-53	-------	1,2E-64	-------	cg05007163	11,4	2,1E-30	130	29
ZNF256	2,0E-07	------+	8,1E-33	++++++-	1,7E-16	-------	cg22299467	-6,8	6,0E-12	183	17
LPP	5,8E-04	+++++?-	8,1E-32	-----?-	4,6E-08	+----?-	cg10168494	5,0	3,6E-07	110	2
C1orf162	1,5E-05	+++++?+	1,1E-11	+----?-	1,0E-06	----+?-	cg23068939	4,0	3,7E-05	97	1
NIPAL3	5,6E-13	-----?-	4,9E-22	+++++?+	2,2E-65	-----?-	cg01768001	-8,4	2,2E-17	122	12
NA	3,4E-03	????+??	2,1E-23	????-??	4,6E-09	????-??	NA	5,1	2,2E-07	302	1
EXOSC5	3,0E-11	-------	5,9E-29	-------	1,3E-13	++++++-	cg19430423	-6,2	3,4E-10	146	15
SLC25A20	3,6E-08	-++++-+	1,5E-86	-------	1,9E-14	+------	cg15588941	7,1	4,8E-13	280	9
NA	3,5E-03	????+??	3,8E-15	????-??	2,2E-05	????-??	NA	3,7	9,4E-05	440	1
PAQR8	1,4E-11	------+	2,2E-15	+------	1,1E-19	+++++++	cg08966889	-6,0	1,2E-09	97	4
ENOSF1	1,7E-10	+------	2,9E-17	++++++-	5,2E-14	-----+-	cg26147554	-5,6	9,5E-09	82	5
EIF3E	4,3E-09	-------	4,7E-03	+-+----	8,9E-14	++++++-	cg09981361	-2,6	4,1E-03	53	0
IGLL1	3,9E-20	-------	1,2E-15	+++++-+	1,1E-30	-------	cg03382805	-6,6	2,5E-11	78	2
EOMES	1,1E-10	+++++++	5,8E-52	+++++++	3,2E-192	+++++++	cg06087019	13,5	8,3E-42	69	25
TEX10	2,0E-08	-------	7,9E-23	-------	3,5E-07	+++-+++	cg14475840	-4,5	3,1E-06	37	2
MAGED1	6,2E-10	-?-----	2,6E-05	+?+--+-	5,0E-04	-?+++--	cg16219026	-2,7	3,7E-03	27	0
KLF10	4,1E-03	-+++?++	1,5E-16	----?--	1,5E-07	----?--	cg02135077	4,4	4,7E-06	110	1
UBASH3A	3,8E-06	+----+-	6,6E-20	-------	1,6E-108	+++++++	cg08136416	-8,4	1,5E-17	125	10
SPTBN1	1,2E-12	-------	2,3E-33	++++++-	3,6E-28	-------	cg23486701	-8,1	2,3E-16	114	5
MTSS1	6,4E-04	++-++++	4,2E-46	+++++++	1,8E-09	-++++++	cg12738197	5,5	1,5E-08	107	6
HSF2	2,0E-10	-------	2,9E-03	---+-+-	2,9E-02	-++-+-+	cg27147807	-1,8	3,9E-02	38	0
PTPN7	1,6E-07	+++++?+	1,3E-30	--+--?-	7,4E-40	-----?-	cg19404354	8,7	2,1E-18	133	23
ARHGEF18	5,2E-18	-------	9,5E-74	-------	6,9E-22	+++++++	cg08356214	-8,5	9,6E-18	206	9
TRAP1	1,7E-06	+------	3,1E-52	+++++++	2,1E-10	-------	cg02672962	-5,9	2,3E-09	200	5
TSHZ2	5,2E-09	+-++++-	2,7E-10	--+----	1,9E-05	-------	cg02517337	3,5	2,0E-04	32	1
EIF3H	8,7E-11	-------	1,7E-52	-------	8,5E-21	++++++-	cg09305680	-8,0	7,8E-16	73	4
SNTB2	3,6E-08	+++++++	2,6E-63	-------	5,2E-16	-------	cg07855319	7,3	1,4E-13	134	13
ZNF550	2,8E-10	-------	1,7E-20	++++++-	3,2E-05	-------	cg21489303	-3,8	7,5E-05	221	1
BCL11A	6,6E-11	--??---	9,1E-49	--??---	8,9E-24	++??+++	cg19040195	-8,3	5,5E-17	104	15
CTNNA1	4,3E-08	+++++++	9,3E-09	--+----	2,6E-10	-------	cg14841929	4,3	1,1E-05	115	2
NA	1,1E-13	????-??	5,2E-22	????-??	1,9E-19	????+??	NA	-6,6	2,3E-11	2629	34
IL10RA	4,4E-07	+++++++	3,0E-27	--+----	2,8E-59	-------	cg05223210	9,0	1,1E-19	143	35
HSP90B1	4,3E-10	+------	4,5E-06	-----+-	1,0E-12	+++-++-	cg21049487	-3,9	5,7E-05	76	1
SCD	1,9E-10	-------	3,2E-18	+++-++-	1,0E-11	-------	cg07504977	-5,4	4,2E-08	140	4
POLR1E	5,8E-09	-------	1,5E-08	+----+-	7,4E-15	--+-++-	cg13893555	-4,6	2,4E-06	47	2
SNRPN	7,6E-09	-------	1,3E-08	+------	2,7E-06	+-+-++-	cg12298755	-3,6	1,5E-04	189	1
SORT1	1,6E-12	+++++?+	5,4E-37	-----?-	1,6E-23	-----?-	cg09131339	7,9	2,0E-15	236	7
ADSL	3,4E-14	-------	2,6E-105	+++++++	4,0E-32	-------	cg08362785	-10,4	1,6E-25	34	5
LARS	1,2E-06	-------	1,2E-33	--+----	8,9E-06	++-++++	cg05696969	-4,2	1,5E-05	69	4
SYPL1	9,0E-14	-----+-	1,3E-61	-------	1,5E-24	+++++++	cg26427498	-8,7	1,6E-18	59	9
PTGER2	5,4E-07	++-+++-	1,8E-13	--+----	2,6E-17	-------	cg07055769	5,6	1,4E-08	54	6
SLC38A1	1,2E-05	-------	3,3E-13	-------	1,4E-38	-++++++	cg16788865	-6,4	1,1E-10	76	2
CIRH1A	1,4E-06	---+---	2,6E-63	-------	1,9E-10	++-++++	cg07855319	-6,0	1,3E-09	133	6
GSPT2	2,3E-12	-?----+	2,7E-05	+?+--+-	1,3E-01	-?+-++-	cg16219026	-1,4	7,7E-02	31	0
APH1B	1,5E-13	-++++++	6,8E-39	+++++-+	1,9E-15	--+++++	cg08783514	6,8	5,8E-12	122	6
E2F5	1,4E-17	-------	2,1E-14	-------	1,5E-22	+-+++++	cg05071334	-6,0	8,8E-10	80	3
SERINC5	2,3E-05	+------	4,8E-29	+++++++	7,8E-10	-------	cg14711743	-5,4	3,5E-08	83	8
EIF3L	2,4E-11	-------	1,6E-41	-------	7,1E-60	-++++++	cg21268578	-10,4	1,2E-25	222	11
CHMP7	1,6E-04	-------	1,7E-35	+++++++	2,6E-29	-------	cg16193207	-8,3	3,8E-17	139	12
4,2E+04	1,4E-07	-++?+?+	2,9E-22	+--?-?-	1,3E-69	---?-?-	cg17852326	8,5	9,3E-18	103	7
DDX10	2,6E-06	-------	3,0E-35	-------	3,3E-08	+++++++	cg10022155	-5,1	2,3E-07	82	1
LAGE3	4,9E-06	-?----+	3,2E-21	-?-----	2,0E-39	+?+++++	cg26279840	-7,7	8,4E-15	250	11
ITGB1	1,3E-01	++-?+--	7,8E-24	---?---	1,5E-59	---?---	cg09624923	8,6	5,6E-18	59	7
WDR75	3,8E-14	-------	4,8E-100	-------	9,1E-11	-++++++	cg14898223	-6,2	2,9E-10	61	4
CCDC109B	1,6E-11	-------	4,7E-33	+++++++	1,6E-26	+------	cg05248542	-8,0	8,5E-16	78	3
PFAS	5,0E-13	-------	1,0E-19	-------	1,1E-15	-++-+++	cg04658021	-6,0	9,2E-10	328	10
FAM213A	2,9E-07	-----+-	1,3E-14	-----+-	4,0E-12	-++-++-	cg23258615	-5,2	1,3E-07	97	4
TIGD7	1,7E-07	-------	4,1E-10	+++++++	1,4E-02	----+--	cg05540369	-2,3	1,1E-02	261	0
PKIA	2,5E-15	+--?---	2,4E-44	+++?++-	3,6E-09	---?---	cg04014062	-5,4	2,7E-08	37	4
CD70	1,1E-11	+++++++	2,2E-37	-------	6,0E-20	-------	cg13742513	7,4	5,2E-14	206	18
ARHGAP32	2,0E-09	+-----+	1,2E-27	-----+-	1,5E-12	++++++-	cg16024530	-5,9	1,5E-09	148	5
ZNF365	5,4E-03	++-+?++	5,1E-16	++++?++	1,3E-43	++++?++	cg19640130	7,0	1,3E-12	93	5
EEF2	1,5E-08	-------	1,0E-60	-------	4,9E-46	+++++++	cg04727071	-10,8	2,5E-27	312	9
MT1A	8,9E-10	++++-++	4,6E-47	+++++++	5,1E-18	+++++++	cg09477019	7,4	6,0E-14	141	17
PDZD4	2,3E-06	+?+++++	3,6E-18	-?+---+	7,1E-26	-?-----	cg13049326	6,7	1,0E-11	284	14
DPH5	2,5E-06	-----?-	3,2E-12	+----?-	1,0E-08	+++++?-	cg04205769	-4,4	4,8E-06	54	2
OBSCN	3,9E-12	+----?-	4,5E-72	+++++?+	2,3E-08	-----?-	cg07366503	-5,3	4,9E-08	361	7
DOCK10	6,9E-22	-------	6,2E-14	-----+-	1,5E-56	+++++++	cg01474011	-6,8	5,9E-12	36	5
NAT10	1,5E-10	-------	4,1E-50	-------	5,4E-24	+-+++++	cg13100962	-8,4	3,2E-17	99	5
CKAP4	4,6E-12	-++++++	1,1E-05	-------	1,3E-14	-------	cg13249833	3,8	6,7E-05	77	2
ZNF544	2,9E-16	-------	1,0E-04	++---+-	1,9E-15	+-+++++	cg06442489	-3,5	2,5E-04	281	0
TC2N	2,4E-04	-------	1,3E-08	-++++++	2,5E-27	-------	cg08796342	-5,0	2,4E-07	57	3
BTLA	1,5E-04	-----+-	7,8E-19	+++++++	5,8E-10	+-----+	cg03995631	-5,1	1,9E-07	53	4
TLE2	2,7E-07	-------	1,4E-38	+++++++	2,9E-19	-------	cg05350224	-7,4	7,7E-14	256	6
CCT2	3,4E-07	-------	2,5E-24	+------	1,2E-09	+-+++++	cg12596182	-5,2	9,0E-08	51	3
C10orf2	1,1E-05	------+	1,7E-24	+------	4,5E-14	+-+++++	cg03271893	-6,1	6,4E-10	362	6
EVL	1,5E-13	-------	4,2E-32	-------	1,2E-64	+++++++	cg10096040	-9,7	1,7E-22	199	16
FASLG	2,3E-02	-++++?+	1,8E-10	--+--?-	5,9E-09	-----?-	cg07393570	4,3	8,6E-06	45	5
GNL3	1,1E-06	-------	2,8E-14	+------	6,0E-16	+-++++-	cg26862175	-5,5	1,5E-08	184	7
RPS6	5,4E-09	-------	1,3E-28	-------	6,6E-03	++-++++	cg14628274	-2,6	4,2E-03	21	0
BATF	1,0E-06	++-++++	6,0E-32	-------	6,5E-32	-------	cg23532454	8,3	4,6E-17	101	7
IRF8	2,8E-15	-------	6,9E-50	+++++++	2,4E-42	-------	cg02835823	-10,0	4,9E-24	157	20
CD79B	1,2E-19	-----++	4,5E-13	+++++-+	7,2E-163	-------	cg24091162	-7,0	1,3E-12	170	19
SRPRB	2,1E-10	-------	1,0E-10	+------	8,3E-33	+++++++	cg07356486	-5,7	6,5E-09	107	4
GPA33	1,1E-06	-----?-	1,5E-49	-----?-	7,8E-22	+++++?+	cg26079320	-8,1	4,0E-16	111	6
NOL11	2,8E-11	-------	6,0E-61	+++++++	4,2E-35	-------	cg06559756	-9,9	2,4E-23	48	2
TESPA1	5,7E-08	--?-?--	1,6E-11	++?+?+-	2,4E-17	--?-?+-	cg02710015	-5,3	6,7E-08	27	6
GPR137B	4,5E-02	++++-?+	8,7E-46	+++++?+	1,8E-14	+++++?+	cg16549308	6,7	7,7E-12	101	15
IRAK3	1,1E-09	-++++-+	1,7E-13	+------	1,1E-56	---+---	cg12866960	6,7	1,2E-11	66	6
PUS1	9,1E-23	-------	1,0E-44	-------	8,7E-54	+++++++	cg07744430	-10,4	1,5E-25	384	13
SET	3,7E-09	-------	3,3E-53	+++++++	4,5E-13	+--+--+	cg14473838	-6,6	2,9E-11	90	3
ASCL2	2,0E-06	++++--+	9,3E-41	+++++++	8,7E-46	-++++++	cg19779211	9,7	1,1E-22	476	124
MKI67IP	1,3E-09	-------	4,4E-20	-------	2,7E-27	+++-+++	cg10927461	-7,0	1,3E-12	61	3
LPCAT1	5,1E-04	-++-+++	1,3E-40	-------	9,5E-14	+------	cg02531924	6,5	3,9E-11	427	35
CYP4F22	2,1E-07	+++++++	5,8E-18	-------	1,6E-14	-------	cg22068747	5,7	4,8E-09	170	5
MAFB	7,4E-10	++??+++	7,4E-19	+-??---	5,8E-08	--??---	cg18523886	4,6	1,8E-06	29	2
ITK	1,1E-12	+------	2,0E-43	-------	3,5E-86	+++++++	cg17516539	-11,3	6,1E-30	80	11
NRIP1	2,3E-06	+----+-	5,5E-28	++-++++	2,8E-05	----+--	cg22522509	-3,9	4,6E-05	13	1
FAM214B	4,7E-08	++++?++	1,3E-04	----?+-	1,3E-20	----?-+	cg05000446	3,5	2,0E-04	59	1
PDE3B	6,5E-09	-------	1,5E-54	+++++++	8,3E-10	-------	cg23463269	-5,7	5,6E-09	130	8
LINC00152	9,1E-07	-+++++-	3,0E-52	-------	2,1E-09	+------	cg20731257	5,6	1,3E-08	2	2
GRPEL2	1,1E-14	-----+-	1,3E-21	-------	6,3E-46	-+++++-	cg04317047	-7,9	1,1E-15	127	14
C9orf123	4,1E-10	-------	8,7E-02	+---+--	5,0E-01	++--+-+	cg22582025	0,6	7,3E-01	1	0
CMKLR1	2,0E-02	-+++?++	1,0E-08	----?--	1,1E-12	----?--	cg06933965	4,5	4,1E-06	83	3
SH2D1B	1,6E-01	+++++?+	7,8E-09	-----?-	4,9E-24	-----?-	cg14701962	5,0	2,7E-07	74	2
ANXA2	2,8E-09	+++++++	5,6E-25	-------	1,4E-29	-------	cg02072495	7,6	1,3E-14	67	3
SEH1L	1,1E-05	-------	8,9E-05	+++++-+	4,1E-13	-------	cg14113931	-3,5	2,8E-04	84	2
TNFRSF17	5,4E-08	-------	1,1E-18	+++++-+	6,6E-08	+---+--	cg04450037	-4,6	2,0E-06	90	1
ABCE1	2,0E-09	-------	6,3E-03	-----+-	1,1E-04	-++-++-	cg10840994	-2,2	1,3E-02	41	0
MORC2	5,3E-09	+------	1,2E-10	+++++++	1,5E-46	-------	cg23825480	-5,9	2,2E-09	104	4
TRAF3IP2	6,4E-14	-------	6,6E-22	+++++++	9,8E-45	-------	cg15772366	-7,9	1,1E-15	79	17
ZNF671	5,5E-12	-------	4,6E-76	+++++++	3,8E-38	-------	cg03234186	-10,6	1,8E-26	214	31
DBP	1,3E-06	+----++	1,4E-13	-------	4,6E-20	+++++++	cg24030173	-5,8	4,3E-09	313	2
TMX4	1,7E-08	-++++++	3,6E-04	++---+-	1,9E-10	------+	cg01309046	3,1	9,3E-04	27	1
ALKBH2	1,5E-04	-------	5,8E-11	-------	1,9E-04	+++++++	cg03244974	-3,2	6,0E-04	90	0
ATP6V0E2	5,8E-14	-------	2,8E-13	+------	1,3E-11	+++++++	cg12243858	-5,0	3,5E-07	106	4
MAPKAPK5-AS1	2,1E-10	-------	6,5E-76	-------	6,6E-29	+++++++	cg12142865	-9,6	6,8E-22	91	6
MT1E	1,8E-10	+++++++	7,6E-47	+++++++	1,7E-41	+++++++	cg09477019	9,8	3,8E-23	142	22
RPS4X	1,7E-11	-?-----	2,0E-17	-?-----	2,9E-28	+?+++++	cg26436278	-6,7	8,7E-12	93	3
PLBD1	9,8E-11	+++++++	1,1E-26	+++++++	1,0E-17	-+-++++	cg27598407	6,7	1,1E-11	80	5
PPAT	3,7E-15	-------	3,1E-46	-------	3,1E-08	+++++++	cg25948037	-5,2	1,2E-07	91	6
KIF1B	6,7E-04	+-+-+?+	3,0E-14	+----?-	1,3E-18	++---?+	cg06829969	5,8	4,4E-09	159	15
KIAA0125	2,6E-04	----?-+	1,4E-05	++++?++	2,8E-09	----?--	cg01098955	-3,5	2,2E-04	33	4
GPR114	2,5E-04	-+++-++	1,4E-25	-------	2,2E-44	-------	cg04273148	8,4	2,8E-17	168	21
NCAM1	1,8E-02	++++++-	3,6E-08	++-++++	1,1E-04	-++++++	cg04642306	3,2	7,9E-04	85	0
TNFRSF13B	4,2E-09	-------	9,3E-24	-------	2,1E-06	+++-++-	cg01890836	-4,3	9,0E-06	76	2
SLC31A1	5,0E-11	-++++++	1,2E-30	+------	1,4E-09	---+---	cg02003202	5,4	4,1E-08	69	1
LY9	9,3E-08	-----?-	8,9E-45	+++++?+	8,3E-35	-----?-	cg07106927	-9,3	1,1E-20	100	14
WDR4	6,9E-15	------+	6,6E-20	-------	6,0E-24	+++-+++	cg08136416	-6,8	6,3E-12	122	4
N6AMT1	5,0E-08	-------	2,1E-09	+----+-	2,5E-04	--+++++	cg20762729	-3,1	8,9E-04	52	1
CDK6	1,4E-05	-------	7,1E-09	+----+-	8,3E-20	-++++++	cg07302959	-4,9	5,1E-07	108	5
MAP3K5	3,9E-08	+++++++	1,3E-57	-------	9,1E-24	-------	cg21506299	8,5	8,6E-18	84	6
MAL	7,1E-08	-----+-	2,2E-37	-------	2,8E-47	+++++++	cg01763690	-9,6	5,4E-22	109	26
UBA52	5,2E-09	-------	9,8E-09	-----+-	2,5E-15	+++-+++	cg19640821	-4,6	1,7E-06	256	2
PRMT3	4,6E-07	------+	1,7E-07	+----+-	2,4E-06	+++++++	cg05914060	-3,5	2,3E-04	121	2
UXT	9,5E-06	-?-----	2,2E-14	-?-----	8,5E-10	+?++++-	cg25652053	-4,8	8,6E-07	114	2
RPL18	3,2E-10	+------	1,4E-13	-------	4,7E-34	+++++++	cg24030173	-6,3	1,3E-10	309	8
SPIB	5,4E-14	-----++	8,7E-27	+++++++	5,0E-32	-------	cg22196260	-7,9	1,1E-15	219	7
BNIP3	2,6E-19	-------	1,8E-08	-------	2,5E-06	-++++++	cg06937617	-3,6	1,5E-04	269	1
BEX2	7,6E-05	-?-----	5,1E-21	+?-----	1,8E-06	+?+-+++	cg24399474	-4,3	1,0E-05	72	1
ARG1	2,0E-07	-+++++-	6,5E-07	+----+-	2,6E-46	-------	cg01699630	4,7	1,3E-06	46	3
TTLL3	7,4E-08	+++?+-+	4,6E-41	---?---	1,3E-09	---?--+	cg16324121	5,5	1,6E-08	192	4
BLK	7,0E-09	------+	6,6E-23	+++++-+	9,3E-164	-------	cg10147394	-9,3	9,6E-21	186	7
CPT1A	7,1E-04	-++++-+	6,6E-19	--+----	8,9E-05	+------	cg02023548	3,6	1,7E-04	226	1
LMNA	2,4E-06	-++++?+	3,5E-54	-----?-	8,7E-15	-----?-	cg17453456	6,9	2,0E-12	274	2
FCGR1A	7,7E-14	+++++?+	1,4E-11	+----?-	3,2E-08	-----?-	cg24620905	4,3	9,5E-06	81	1
TTC27	4,6E-06	-------	2,4E-18	+------	7,6E-07	+++++++	cg21139003	-4,3	8,4E-06	37	1
GIMAP5	2,5E-07	+------	2,7E-44	+++++++	6,2E-93	-------	cg12644845	-11,5	4,7E-31	126	12
IL1R2	2,1E-12	-++++++	5,9E-40	-------	5,5E-74	+------	cg27598107	10,7	5,0E-27	74	10
RPL13	8,5E-08	+------	1,4E-63	-------	5,5E-22	+++++++	cg04080022	-8,4	3,0E-17	333	22
WDR12	7,7E-16	-------	7,1E-08	+------	2,2E-02	+++-+++	cg14367014	-2,1	1,8E-02	59	0
EIF3M	4,1E-09	-------	6,9E-18	-------	9,1E-04	-+++++-	cg08787968	-3,1	9,9E-04	85	0
KIF5C	3,7E-05	+---++-	1,3E-09	+----+-	4,2E-07	-++-+++	cg27416489	-3,9	5,1E-05	83	2
CCT8	6,9E-14	-------	1,3E-12	-------	3,2E-20	+++++++	cg03732014	-5,6	9,4E-09	71	3
DSC1	4,8E-05	----+--	8,3E-57	+++++++	7,8E-17	-------	cg15439862	-7,4	7,9E-14	38	20
PARP3	3,5E-10	+++++++	5,2E-146	-------	3,5E-29	-------	cg12554573	10,3	4,3E-25	179	15
ASGR2	2,5E-12	+++++++	3,8E-19	-----+-	3,0E-23	-------	cg26661623	6,7	1,5E-11	371	9
CAPN2	2,1E-02	++-++?+	1,7E-110	--+--?-	7,4E-09	+----?-	cg18310639	5,6	1,1E-08	54	11
STAT1	2,9E-12	+++++-+	1,4E-05	-------	8,5E-07	-------	cg03110996	3,3	5,7E-04	70	1
CPEB3	3,8E-09	+++++++	2,9E-10	-+-----	9,1E-11	+------	cg04889043	4,5	3,1E-06	100	2
TMEM97	1,1E-09	-------	4,4E-39	-------	3,8E-18	+++-+++	cg22640868	-7,2	2,3E-13	177	6
RRAS	2,0E-12	+++++++	2,0E-37	+++++++	1,0E-02	-++++++	cg15164708	2,5	5,7E-03	357	0
LRRFIP2	6,2E-13	+++++++	5,5E-13	+------	7,1E-19	++----+	cg12981272	5,6	1,1E-08	105	3
KLHL6	1,7E-11	+------	4,9E-32	-------	2,3E-17	+++++++	cg07853489	-6,9	3,0E-12	92	4
ROPN1L	1,3E-06	+++++-+	1,5E-47	-------	2,9E-33	+------	cg06298346	9,3	1,1E-20	109	15
PACSIN1	1,5E-12	-------	4,3E-06	+----+-	2,4E-07	+++-++-	cg06526020	-3,4	3,0E-04	131	1
KIAA0020	2,4E-09	+---?--	1,1E-02	--+-?--	1,7E-02	-+++?+-	cg13767506	-1,7	4,2E-02	25	0
DPP4	1,3E-06	+-----+	1,9E-13	--+----	2,2E-04	+++++--	cg07262519	-3,3	4,9E-04	37	1
GFI1	4,5E-05	+++++?+	7,4E-50	-----?-	1,4E-52	----+?-	cg04777348	10,6	9,6E-27	78	10
PLEK	1,9E-05	+++++++	1,3E-26	--+----	2,0E-19	-------	cg19015708	6,9	2,8E-12	77	3
CCL5	9,2E-11	+++++++	2,0E-80	-------	1,7E-110	-------	cg11992940	14,5	9,6E-48	116	37
MTUS1	7,8E-03	---+?--	4,0E-30	++++?++	5,6E-08	----?--	cg25557835	-4,9	4,7E-07	68	5
VAMP3	7,2E-06	+++++?+	7,2E-44	-----?-	9,3E-17	-----?-	cg08840010	7,1	4,9E-13	149	3
GLIPR2	1,1E-13	+++++++	9,8E-18	-------	1,0E-15	+------	cg13630493	5,9	2,3E-09	42	4
DYRK2	1,6E-11	+------	1,4E-22	-------	1,0E-10	+++++++	cg20051875	-5,4	3,5E-08	29	4
FBXO6	3,6E-14	+++++?+	9,1E-81	-----?-	3,4E-17	-----?-	cg25467652	7,7	6,4E-15	170	10
RPS23	5,2E-05	---?-+-	3,3E-20	+++?+++	6,6E-15	---?---	cg00554754	-6,0	1,4E-09	26	3
IDS	1,5E-10	+?+++++	1,8E-06	-?----+	3,5E-04	-?----+	cg10559351	2,9	2,1E-03	42	0
GPATCH4	2,4E-06	-----?-	2,4E-12	+----?-	2,2E-16	+++++?+	cg12617080	-5,3	4,9E-08	300	9
MEGF9	3,4E-04	-++++--	2,1E-57	+------	3,5E-38	+-----+	cg14180030	10,0	4,9E-24	60	8
TSPAN2	5,5E-02	+-+++?-	1,1E-17	-----?-	7,2E-05	----+?-	cg13174306	3,6	1,6E-04	57	1
PNPO	9,0E-08	---+--+	3,0E-43	+------	2,5E-12	-+++++-	cg05446659	-6,3	2,1E-10	250	7
DPH2	1,3E-07	+----?-	1,9E-38	-----?-	5,1E-19	+++++?-	cg23001650	-7,3	1,0E-13	149	12
YPEL1	3,4E-06	++++-++	2,0E-20	++-++++	8,7E-53	+++++++	cg09350141	7,9	1,2E-15	147	15
URI1	2,3E-09	+------	4,2E-70	-------	1,0E-16	+++-++-	cg01756756	-7,5	2,8E-14	87	2
MBOAT1	2,8E-04	+++++++	1,1E-11	-------	1,9E-46	-------	cg21119074	6,1	4,2E-10	38	2
LRPPRC	5,8E-05	+------	6,6E-21	-------	4,6E-14	++++++-	cg10107890	-5,9	2,1E-09	87	3
RCAN2	5,7E-07	++++?++	4,9E-26	++++?++	6,5E-84	++++?++	cg26705953	9,3	9,2E-21	101	15
TRMT13	5,3E-07	-----?-	1,5E-10	+----?-	1,5E-05	-++++?+	cg06426831	-3,6	1,7E-04	88	1
PPRC1	1,6E-07	-------	2,8E-33	+------	3,1E-18	+-+++++	cg00431050	-7,1	8,8E-13	151	5
PDCD2L	4,2E-08	+------	1,6E-87	-------	7,4E-10	-+++++-	cg07843120	-5,9	2,0E-09	91	1
BCKDHB	4,8E-12	-------	7,4E-48	+++++++	2,9E-04	-------	cg16370875	-3,5	2,2E-04	48	2
AFF3	1,3E-11	-----+-	1,7E-45	-------	3,1E-17	+++++++	cg15996397	-7,3	2,1E-13	126	16
PARP1	2,9E-19	-----?-	2,8E-18	--+--?-	6,2E-20	-++++?+	cg01910727	-6,3	1,4E-10	103	5
RPL8	3,0E-07	+--?---	3,2E-13	+++?+--	7,2E-28	+--?--+	cg00697658	-6,1	6,6E-10	235	2
FRMD3	2,7E-05	-+++++-	1,3E-01	-+---++	2,2E-05	-------	cg14512326	1,4	7,7E-02	23	0
CD19	1,6E-14	-----++	2,2E-14	+++++-+	7,2E-232	-------	cg01758575	-7,4	5,2E-14	158	12
EBF1	2,2E-08	-----+-	4,0E-18	-------	1,3E-27	+++++++	cg16223546	-6,8	5,7E-12	107	11
NOP2	1,9E-13	-------	9,8E-69	-------	5,0E-49	+++++++	cg00252813	-11,3	9,3E-30	299	33
CHI3L2	4,8E-07	---?-?+	3,7E-48	+++?+?+	1,2E-14	---?-?-	cg14414943	-6,8	4,6E-12	119	7
B4GALT5	4,9E-07	+++++++	4,4E-29	-------	2,5E-83	-------	cg00340958	9,7	1,7E-22	76	4
EIF2D	1,3E-08	+------	7,8E-25	-------	1,1E-29	++++++-	cg12380764	-7,6	1,3E-14	105	16
SLC26A8	1,3E-06	+++++-+	2,5E-53	-------	1,5E-35	---+---	cg18357736	9,7	2,0E-22	124	13
WARS	4,2E-14	+++++++	3,9E-13	+++++++	1,1E-17	+++++++	cg04166500	5,5	1,5E-08	183	11
SLC22A15	6,2E-05	+++++?+	1,0E-17	-----?-	1,5E-34	-----?-	cg14985891	7,0	1,1E-12	73	7
MARS2	9,4E-14	-------	3,6E-08	-----+-	1,5E-17	+++-++-	cg01766396	-4,6	1,9E-06	89	1
NME1	3,8E-10	-------	2,7E-34	+------	6,5E-08	-++-+++	cg05916684	-4,9	3,9E-07	85	4
CBLL1	1,2E-08	+------	2,0E-15	+-+++++	2,2E-06	-------	cg23299109	-4,1	2,4E-05	92	2
CPA5	3,5E-04	------+	1,7E-07	++++++-	1,0E-25	-------	cg03229158	-4,7	1,4E-06	150	4
NA	4,3E-02	????-??	2,7E-24	????-??	4,1E-11	????+??	NA	-5,5	1,5E-08	3598	20
C12orf57	1,8E-05	-------	1,3E-88	-------	1,0E-50	+++++++	cg01607849	-12,0	2,3E-33	327	23
PPA1	1,8E-08	-------	1,9E-31	-------	7,1E-19	-++++++	cg13585930	-7,1	8,2E-13	166	5
ABI3	2,3E-08	+++++++	2,0E-19	-----+-	3,3E-46	-------	cg14235273	7,6	1,3E-14	146	23
RPS13	2,1E-10	-------	4,1E-10	-+-----	7,1E-05	++++++-	cg02946294	-3,4	4,0E-04	64	1
